Row Labels,Count of PARK_NAME
6037101122,1
6037101300,3
6037101400,2
6037102103,1
6037102104,3
6037102107,2
6037103101,1
6037103102,3
6037103200,1
6037103300,1
6037103400,2
6037104124,2
6037104203,1
6037104701,1
6037104704,1
6037104810,1
6037106010,2
6037106020,2
6037106111,2
6037106112,1
6037106113,1
6037106406,4
6037106510,3
6037106603,1
6037106641,1
6037106643,1
6037106645,1
6037106646,1
6037107010,1
6037107020,1
6037108103,3
6037108104,2
6037108201,4
6037108202,2
6037109300,2
6037109400,1
6037109500,2
6037109604,1
6037111205,1
6037111206,1
6037111400,1
6037113102,2
6037113211,3
6037113212,1
6037113231,1
6037113234,1
6037113322,1
6037115201,1
6037115404,1
6037117102,1
6037117302,1
6037117404,1
6037119002,1
6037119202,3
6037119800,1
6037120105,1
6037120108,3
6037120400,1
6037121010,2
6037121221,1
6037121600,3
6037122000,1
6037122122,1
6037122200,1
6037123520,1
6037123901,1
6037124201,1
6037124204,1
6037124400,2
6037125402,1
6037127210,1
6037127520,1
6037127711,1
6037128101,1
6037128102,1
6037128220,1
6037128303,1
6037128400,1
6037128702,1
6037131600,1
6037132002,1
6037132300,1
6037133100,3
6037134103,1
6037134304,1
6037134306,1
6037134421,1
6037134423,3
6037134424,4
6037134522,1
6037134800,1
6037134904,1
6037135201,2
6037135203,3
6037137103,1
6037137201,1
6037137401,3
6037137402,2
6037137501,2
6037137502,1
6037137504,4
6037138000,7
6037139001,1
6037139303,1
6037139401,1
6037139402,1
6037139701,6
6037139702,4
6037139802,2
6037141102,1
6037141400,3
6037141500,1
6037141600,2
6037141700,9
6037143300,1
6037143500,1
6037143602,1
6037143604,6
6037143700,4
6037143800,2
6037143901,4
6037143902,5
6037181500,1
6037181600,1
6037183104,2
6037183222,1
6037183402,1
6037183620,1
6037183702,1
6037183820,1
6037185202,2
6037185310,2
6037185320,1
6037186203,6
6037186404,2
6037187200,4
6037187300,2
6037188100,1
6037188300,2
6037189400,2
6037189600,2
6037189701,3
6037189702,7
6037190202,2
6037190700,2
6037190802,1
6037191000,3
6037191302,1
6037191720,3
6037191901,2
6037191902,1
6037192620,1
6037194101,5
6037194102,9
6037194200,5
6037194300,6
6037195100,1
6037195400,1
6037195901,1
6037195903,3
6037197200,1
6037197410,1
6037197420,2
6037197700,1
6037199000,5
6037199201,2
6037199300,1
6037199400,9
6037199800,3
6037199900,1
6037201301,2
6037201302,3
6037201401,1
6037201402,1
6037201601,1
6037201700,1
6037203300,1
6037203710,2
6037204420,1
6037204600,1
6037204700,1
6037204810,1
6037205110,1
6037205120,2
6037206010,3
6037206032,5
6037206050,1
6037206300,1
6037207103,1
6037207400,4
6037207502,5
6037208000,1
6037208402,1
6037209104,4
6037209200,6
6037209300,1
6037210010,1
6037211320,1
6037211804,1
6037212204,2
6037212304,1
6037212900,1
6037213401,2
6037213402,1
6037215102,1
6037216100,1
6037216300,1
6037216800,1
6037218220,2
6037218702,1
6037218800,1
6037218900,1
6037220000,1
6037220100,1
6037221303,1
6037221304,1
6037221602,1
6037222001,2
6037222002,1
6037222200,2
6037222600,2
6037222700,2
6037224010,1
6037224310,1
6037224410,1
6037224420,3
6037224700,4
6037226002,1
6037226700,1
6037227020,1
6037228220,2
6037228600,1
6037229100,1
6037229200,2
6037229420,2
6037231100,1
6037231400,1
6037231600,2
6037231720,1
6037231800,1
6037231900,1
6037232600,1
6037232700,1
6037232800,2
6037234502,1
6037234600,1
6037235201,1
6037236000,1
6037236203,1
6037236204,1
6037236400,2
6037237202,2
6037237402,2
6037237710,1
6037238310,1
6037238320,1
6037238400,1
6037239201,1
6037239202,1
6037239330,2
6037239601,1
6037239701,1
6037239802,1
6037240200,1
6037240600,1
6037240700,1
6037241201,1
6037241400,1
6037242700,1
6037243000,1
6037243100,3
6037261101,5
6037261102,1
6037261200,9
6037262100,3
6037262200,3
6037262301,1
6037262302,2
6037262400,6
6037262501,7
6037262601,1
6037262604,2
6037262704,6
6037262706,3
6037265420,2
6037265602,1
6037265700,2
6037267700,2
6037269300,2
6037269602,1
6037269800,2
6037270200,1
6037270300,4
6037271702,1
6037271802,1
6037271902,2
6037273600,1
6037273902,12
6037274100,1
6037275302,1
6037275400,2
6037275602,1
6037275603,1
6037276601,1
6037276603,1
6037276604,1
6037277200,1
6037278001,1
6037278102,6
6037292000,1
6037293306,1
6037294421,1
6037294510,1
6037294610,2
6037294620,2
6037294701,1
6037294820,2
6037294830,1
6037294900,2
6037295103,1
6037296220,2
6037296300,2
6037296401,2
6037296500,2
6037296600,1
6037297110,3
6037297120,4
6037297201,1
6037297400,5
6037297601,1
6037297602,7
6037300100,1
6037300200,1
6037300301,2
6037300400,8
6037300502,5
6037300600,4
6037300701,3
6037300800,2
6037300901,1
6037300902,8
6037301000,1
6037301204,1
6037301300,4
6037301400,1
6037301602,3
6037301701,1
6037301802,1
6037301900,1
6037302104,1
6037302201,1
6037302202,1
6037302301,3
6037302302,2
6037302401,3
6037302504,4
6037302506,7
6037310100,2
6037310201,2
6037310202,2
6037310300,3
6037310400,1
6037310501,1
6037310602,1
6037310701,1
6037310703,1
6037310900,1
6037311000,2
6037311100,2
6037311200,4
6037311500,2
6037311600,1
6037311700,2
6037311801,1
6037311802,4
6037320000,1
6037320100,1
6037320202,3
6037320300,4
6037400204,2
6037400205,1
6037400206,3
6037400207,9
6037400304,5
6037400404,3
6037400602,4
6037400603,1
6037400604,9
6037400800,7
6037400900,2
6037401001,3
6037401101,1
6037401102,1
6037401202,2
6037401203,1
6037401311,3
6037401312,5
6037401500,2
6037401601,2
6037401602,2
6037401603,4
6037401701,1
6037401703,1
6037401704,1
6037401800,2
6037401902,3
6037402002,4
6037402101,1
6037402102,2
6037402303,1
6037402304,1
6037402402,1
6037402404,1
6037402406,1
6037402501,1
6037402502,2
6037402600,1
6037402703,2
6037402705,1
6037402706,1
6037402801,1
6037402903,1
6037402904,2
6037403000,2
6037403304,1
6037403305,3
6037403316,1
6037403317,2
6037403318,3
6037403319,2
6037403320,5
6037403321,2
6037403323,1
6037403402,1
6037403403,2
6037403404,3
6037403406,3
6037403407,2
6037403408,2
6037403500,1
6037403600,2
6037403703,3
6037403722,1
6037403801,1
6037403802,1
6037403901,1
6037403902,2
6037404100,1
6037404202,2
6037404301,4
6037404401,3
6037404402,1
6037404501,1
6037404504,2
6037405202,1
6037405302,1
6037405400,1
6037405500,1
6037405600,1
6037405800,1
6037406000,1
6037406101,2
6037406102,2
6037406200,2
6037406300,2
6037406412,1
6037406601,1
6037406602,1
6037406702,1
6037406800,2
6037407001,1
6037407002,1
6037407302,1
6037407702,2
6037407802,2
6037408004,3
6037408005,1
6037408006,3
6037408135,2
6037408136,1
6037408137,2
6037408138,1
6037408141,1
6037408212,1
6037408301,2
6037408303,2
6037408401,1
6037408402,2
6037408505,2
6037408623,1
6037408626,1
6037408627,6
6037408628,2
6037408629,1
6037408631,2
6037408703,3
6037408705,2
6037408722,1
6037408724,2
6037408800,2
6037430002,2
6037430003,1
6037430101,2
6037430102,3
6037430200,3
6037430301,1
6037430400,2
6037430501,3
6037430502,5
6037430600,6
6037430701,1
6037430721,1
6037430801,5
6037430803,4
6037430902,1
6037431001,4
6037431002,2
6037431100,3
6037431200,3
6037431300,1
6037431400,2
6037431502,1
6037431600,1
6037431700,3
6037431800,2
6037432000,1
6037432101,1
6037432500,2
6037432601,1
6037432801,2
6037432802,2
6037432902,2
6037433101,1
6037433200,1
6037433307,2
6037433403,3
6037433503,1
6037433504,3
6037433602,2
6037433801,2
6037433802,3
6037434001,1
6037434003,1
6037434004,2
6037460000,4
6037460100,3
6037460200,1
6037460301,5
6037460302,2
6037460401,1
6037460501,2
6037460502,1
6037460700,1
6037460800,3
6037461000,1
6037461100,2
6037461300,1
6037461700,4
6037462002,3
6037462201,1
6037462202,1
6037462400,2
6037462700,1
6037462900,4
6037463000,1
6037463101,2
6037463200,1
6037463500,2
6037463601,1
6037463602,1
6037463700,3
6037463800,4
6037463900,2
6037464000,1
6037464100,3
6037480011,1
6037480201,1
6037480500,1
6037480600,2
6037480702,4
6037480703,4
6037480704,2
6037480803,2
6037480804,1
6037480901,1
6037481002,2
6037481101,3
6037481102,1
6037481103,3
6037481202,3
6037481300,1
6037481402,1
6037481603,2
6037481606,1
6037481901,1
6037481902,1
6037482001,1
6037482002,1
6037482102,2
6037482201,3
6037482202,1
6037482301,2
6037482303,1
6037482401,1
6037482402,4
6037482503,3
6037482522,2
6037482600,2
6037482702,1
6037482800,2
6037500201,1
6037500202,3
6037500300,1
6037500404,2
6037500500,2
6037500600,1
6037500800,1
6037500900,1
6037501001,1
6037501200,5
6037501300,2
6037501400,2
6037501503,1
6037501504,3
6037501600,4
6037501802,1
6037501803,1
6037501804,2
6037501900,2
6037502003,2
6037502004,1
6037502005,2
6037502100,6
6037502200,3
6037502301,1
6037502302,1
6037502602,1
6037502700,1
6037502801,2
6037502802,1
6037502901,1
6037502902,2
6037503104,1
6037503202,1
6037503301,1
6037503302,2
6037503402,1
6037503501,2
6037503502,4
6037503601,1
6037503602,1
6037503701,4
6037503703,1
6037503801,2
6037503802,1
6037503901,2
6037504001,5
6037504101,2
6037530003,1
6037530006,1
6037530101,2
6037530102,1
6037530202,1
6037530203,2
6037530400,1
6037530602,1
6037530801,2
6037530901,1
6037531000,1
6037531302,1
6037531504,1
6037531603,2
6037531702,3
6037531800,2
6037531902,1
6037532101,2
6037532102,1
6037532200,1
6037532302,4
6037532303,1
6037532800,3
6037533001,1
6037533002,1
6037533103,1
6037533502,1
6037533503,1
6037533601,1
6037533602,2
6037533603,1
6037533702,1
6037533703,3
6037533803,1
6037533804,2
6037534202,1
6037534203,6
6037534405,1
6037534406,6
6037534501,1
6037534502,1
6037534700,1
6037534802,1
6037534900,1
6037535200,3
6037535300,1
6037535400,4
6037535502,1
6037536000,1
6037536103,1
6037536104,2
6037540000,1
6037540201,2
6037540203,1
6037540400,1
6037540501,2
6037540600,2
6037540700,5
6037540800,3
6037540902,1
6037541002,1
6037541200,1
6037541300,2
6037541603,2
6037541604,2
6037541606,1
6037541801,1
6037541802,1
6037542105,1
6037542200,1
6037542602,1
6037542700,1
6037542800,2
6037542900,1
6037543000,1
6037543100,5
6037543201,2
6037543202,3
6037543304,1
6037543306,1
6037543321,1
6037543400,3
6037543601,1
6037543602,1
6037543603,3
6037543604,1
6037543702,1
6037543802,1
6037543903,2
6037544002,1
6037550201,2
6037550400,1
6037550500,1
6037550601,1
6037550700,3
6037550800,5
6037551000,2
6037551102,1
6037551300,1
6037551401,1
6037551501,2
6037551502,1
6037551700,2
6037551800,2
6037552001,2
6037552002,1
6037552100,1
6037552301,1
6037552302,1
6037552400,2
6037552900,1
6037553100,3
6037553504,2
6037553602,2
6037553702,3
6037553801,4
6037553802,2
6037553901,2
6037554001,1
6037554103,2
6037554104,1
6037554204,3
6037554301,1
6037554404,2
6037554406,2
6037554511,1
6037554512,4
6037554513,1
6037554514,2
6037554516,2
6037554517,1
6037554518,1
6037554519,3
6037554521,6
6037554700,2
6037554801,4
6037554802,2
6037554900,1
6037555001,1
6037555103,3
6037555104,2
6037555211,3
6037555212,1
6037570100,1
6037570202,1
6037570204,1
6037570402,2
6037570403,1
6037570404,3
6037570501,1
6037570702,2
6037570800,1
6037570901,2
6037571000,4
6037571101,2
6037571102,2
6037571200,1
6037571400,1
6037571503,3
6037571600,1
6037571703,1
6037571704,5
6037571800,2
6037571900,3
6037572001,1
6037572100,1
6037572400,3
6037572500,1
6037572600,2
6037572800,1
6037572900,1
6037573100,1
6037573201,1
6037573300,2
6037573401,2
6037573402,2
6037573403,3
6037573601,2
6037573800,5
6037573902,1
6037574100,1
6037574400,3
6037574602,1
6037574901,2
6037574902,1
6037575001,1
6037575101,1
6037575103,1
6037575201,1
6037575202,4
6037575300,1
6037575401,2
6037575402,3
6037575500,2
6037575902,4
6037576001,9
6037576200,3
6037576301,4
6037576302,1
6037576401,1
6037576402,1
6037576403,2
6037576503,1
6037576601,11
6037576802,2
6037576901,1
6037576903,2
6037576904,3
6037577000,2
6037577100,5
6037577200,2
6037577400,3
6037577501,7
6037577602,2
6037577603,7
6037577604,10
6037599000,5
6037600100,1
6037600201,1
6037600304,4
6037600400,1
6037600601,1
6037600704,1
6037600801,3
6037600912,2
6037601001,1
6037601002,1
6037601302,1
6037601401,2
6037601402,1
6037601502,1
6037602004,1
6037602103,1
6037602104,2
6037602200,2
6037602302,3
6037602402,2
6037602509,4
6037602700,2
6037602802,1
6037602900,1
6037603001,1
6037603006,1
6037603101,1
6037603200,2
6037603301,1
6037603302,1
6037603400,2
6037603600,3
6037603704,1
6037603801,1
6037603900,3
6037604100,3
6037609900,7
6037620001,1
6037620002,9
6037620101,2
6037620102,8
6037620201,1
6037620305,4
6037620400,6
6037620522,2
6037620601,1
6037620602,1
6037620701,1
6037620702,2
6037620800,6
6037620901,2
6037620904,4
6037621001,4
6037621004,3
6037621102,11
6037621104,10
6037621201,6
6037621204,3
6037621301,1
6037621324,4
6037621326,1
6037621400,1
6037650003,1
6037650004,2
6037650101,3
6037650200,1
6037650300,4
6037650401,1
6037650501,1
6037650502,6
6037650603,10
6037650605,6
6037650701,1
6037650702,2
6037650800,3
6037650902,7
6037651002,1
6037651102,4
6037651201,6
6037651221,2
6037651222,8
6037651302,8
6037651304,5
6037651402,3
6037670001,2
6037670003,3
6037670100,3
6037670201,8
6037670202,8
6037670324,4
6037670326,4
6037670328,2
6037670403,2
6037670405,3
6037670406,1
6037670407,2
6037670411,1
6037670413,3
6037670416,4
6037670500,2
6037670602,5
6037670701,2
6037670702,2
6037700102,4
6037700300,2
6037700502,4
6037700600,3
6037700700,5
6037700801,2
6037700901,5
6037700902,2
6037701000,6
6037701100,1
6037701304,1
6037701402,2
6037701502,1
6037701602,1
6037701701,2
6037701702,1
6037701801,2
6037701802,1
6037701902,1
6037702002,4
6037702102,8
6037702201,4
6037702202,5
6037702300,4
6037702400,3
6037702502,5
6037702600,2
6037702700,4
6037702801,1
6037702802,3
6037702803,2
6037702901,5
6037703002,1
6037703100,3
6037703200,2
6037800101,6
6037800102,6
6037800202,1
6037800203,4
6037800204,2
6037800324,3
6037800325,2
6037800326,1
6037800327,3
6037800328,2
6037800329,4
6037800331,3
6037800332,6
6037800406,2
6037800410,3
6037800504,2
6037800506,1
6037900508,1
6037900605,1
6037900607,3
6037900804,2
6037900806,2
6037901007,1
6037901010,2
6037910002,2
6037910207,3
6037910210,2
6037910302,2
6037910402,1
6037910404,1
6037910501,4
6037910502,1
6037910504,2
6037910603,2
6037910705,1
6037910706,1
6037910707,1
6037910714,2
6037910715,2
6037910716,1
6037920013,2
6037920015,1
6037920018,1
6037920020,1
6037920023,1
6037920028,1
6037920030,1
6037920036,2
6037920041,3
6037920043,1
6037920044,2
6037920106,2
6037920109,1
6037920110,1
6037920111,2
6037920114,1
6037920115,2
6037920118,1
6037920303,1
6037920312,2
6037920314,2
6037920322,1
6037920330,1
6037920331,3
6037920332,2
6037920336,2
6037920337,1
6037920338,1
6037980005,2
6037980006,3
6037980007,1
6037980009,1
6037980010,3
6037980013,2
6037980014,1
6037980015,1
6037980020,2
6037980021,1
6037980022,1
6037980023,3
6037980024,6
6037980025,2
6037980026,1
Grand Total,2303
